Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
6/1/1941, 179 , 212 , 241 , 298 , 316 , 265 , 284 , 315 , 196 , 170 
7/1/1941, 20 , 48 , 63 , 73 , 118 , 96 , 112 , 102 , 111 , 72 
8/1/1941," 2,633 ", 761 ," 8,325 "," 9,514 "," 11,211 "," 66,003 "," 2,056 "," 509,490 "," 592,485 "," 26,711 "
9/1/1941, 802 ," 9,149 "," 276,482 "," 1,464 "," 8,975 "," 1,155 "," 1,784 "," 3,442 "," 2,263 "," 1,196 "
10/1/1941, 51 , 208 , 277 , 175 , 260 , 189 , 565 , 439 , 603 , 883 
11/1/1941, 86 , 649 , 366 , 501 , 744 ," 1,240 "," 19,151 "," 5,578 "," 10,525 "," 12,800 "
12/1/1941, 34 , 98 , 180 , 192 , 347 , 187 , 200 , 226 , 146 , 106 
1/1/1942, 14 , 31 , 143 , 101 , 166 , 206 , 251 , 230 , 81 , 36 
2/1/1942," 10,731 "," 72,776 "," 2,058 "," 1,163 "," 4,687 "," 1,511 "," 7,607 "," 3,100 "," 5,751 "," 4,378 "
3/1/1942, 474 , 976 , 301 , 269 , 365 , 221 , 704 , 568 , 235 , 197 
4/1/1942, 851 , 445 , 649 , 419 , 292 , 287 , 322 , 465 , 318 ," 2,286 "
5/1/1942, 299 , 403 , 596 , 338 ," 4,121 "," 2,210 "," 4,571 "," 189,471 "," 3,212 "," 137,545 "
6/1/1942," 1,808 ", 683 ," 1,122 "," 1,653 "," 1,293 "," 1,339 "," 1,094 "," 4,892 "," 3,519 "," 12,186 "
7/1/1942, 528 , 750 , 412 , 516 ," 1,059 ", 317 , 478 , 778 , 514 , 182 
8/1/1942, 889 ," 1,101 ", 900 , 996 ," 4,337 ", 943 ," 2,500 "," 1,175 "," 3,646 ", 634 
9/1/1942, 100 , 653 , 580 ," 1,565 "," 1,518 ", 770 , 791 , 850 , 723 , 129 
10/1/1942, 29 , 64 , 108 , 112 , 172 , 173 , 236 , 162 , 207 , 206 
11/1/1942," 1,523 "," 6,861 "," 2,157 "," 56,928 "," 3,322 "," 6,748 "," 127,194 "," 40,200 "," 1,599 ", 459 
12/1/1942," 2,601 ", 605 ," 2,150 "," 2,150 "," 1,191 ", 663 , 299 , 382 ," 1,311 ", 657 
1/1/1943, 47 , 63 , 65 , 93 , 51 , 60 , 59 , 42 , 23 , 15 
2/1/1943, 13 , 77 , 108 , 42 , 122 , 54 , 138 , 147 , 129 , 100 
3/1/1943, 84 , 125 , 135 , 103 , 132 , 155 , 90 , 59 , 54 , 56 
4/1/1943," 104,381 "," 1,235,679 "," 56,451 "," 1,951 "," 3,519 "," 27,039 ", 270 , 248 , 264 , 83 
5/1/1943, 547 , 310 , 275 , 258 , 437 , 158 , 143 , 105 , 79 , 42 
6/1/1943," 8,355 "," 5,644 "," 3,399 "," 1,330 "," 5,101 "," 2,093 "," 2,315 "," 2,883 "," 6,252,500 ", 970 
7/1/1943," 1,240 ", 649 , 472 , 395 , 274 , 300 , 190 , 182 , 88 , 59 
8/1/1943," 13,405 "," 19,429 "," 49,161 "," 54,316 "," 1,563,750 "," 1,707 "," 18,902 "," 8,994 "," 5,324 "," 2,450 "
9/1/1943," 7,920 "," 1,399 "," 1,541 "," 1,207 "," 1,349 ", 585 , 474 , 734 , 406 , 368 
